Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
871b7335,11/29/2024,12/5/2024,Same Day,72c8b3,Damini Dada,Corporate,India,Chennai,600001,c1d25dcc-0,Technology,Phones,Phones - Porro,838.99,2,0.3,126.78
14d770c7,9/3/2024,9/6/2024,First Class,082a93,Aradhya Mahal,Corporate,India,Lucknow,226001,d3856d46-6,Furniture,Chairs,Chairs - Repellat,846.09,8,0.3,93.07
82326bab,6/7/2025,6/10/2025,Standard Class,542cd7,Saira Chakrabarti,Home Office,India,Jaipur,302001,5e670f83-7,Office Supplies,Paper,Paper - Rem,2660.96,7,0,485.81
1.32E+235,4/8/2025,4/11/2025,First Class,b9ac5b,Divit Balan,Corporate,India,Pune,411001,8002a13b-4,Office Supplies,Pens,Pens - Qui,3921.13,8,0.3,270.08
ee968646,3/22/2025,3/29/2025,First Class,8b65b7,Akarsh Taneja,Corporate,India,Jaipur,302001,5818dd10-8,Technology,Phones,Phones - Harum,849.25,3,0.1,93.63
b635a15a,9/3/2024,9/4/2024,Standard Class,f8687a,Navya Bali,Home Office,India,Hyderabad,500001,d5fe2c7a-e,Technology,Phones,Phones - Dolorum,1944.68,2,0,205.38
3c17970c,2/26/2025,3/2/2025,Same Day,86ce28,Adira Gera,Consumer,India,Bengaluru,560001,1e526333-c,Furniture,Bookcases,Bookcases - Qui,162.16,1,0.3,21.22
e6c2a2ce,8/20/2024,8/24/2024,First Class,45e12d,Azad Bhatt,Home Office,India,Delhi,110001,2d3a38f1-6,Furniture,Bookcases,Bookcases - Necessitatibus,1578.27,2,0.1,186.04
14c4d45b,6/5/2025,6/9/2025,Same Day,3d5f73,Nehmat Kara,Corporate,India,Kolkata,700001,90240547-3,Furniture,Bookcases,Bookcases - Commodi,5941.35,7,0.2,586.99
cc4fa175,5/23/2025,5/25/2025,Same Day,97ece0,Nirvaan Arora,Home Office,India,Ahmedabad,380001,7bb08f40-4,Office Supplies,Binders,Binders - Est,5523.59,7,0.2,712.82
30f43b70,9/8/2024,9/13/2024,Standard Class,fc0c6f,Inaaya  Zachariah,Home Office,India,Mumbai,400001,6b04a427-7,Office Supplies,Binders,Binders - Non,5852.27,7,0,394.91
97668a64,10/26/2024,10/31/2024,First Class,ff1347,Keya Butala,Consumer,India,Pune,411001,2b552f37-3,Technology,Phones,Phones - Repellat,4297.33,6,0.1,695.47
d4cf4131,8/28/2024,8/29/2024,Second Class,407329,Jayan Sharaf,Home Office,India,Lucknow,226001,6f2d588d-1,Office Supplies,Binders,Binders - Ad,3900.73,4,0.1,773.3
ee1e9cfd,6/9/2025,6/12/2025,Same Day,0bf340,Miraya Bhandari,Corporate,India,Delhi,110001,5de95073-e,Technology,Copiers,Copiers - Beatae,1492.55,4,0.1,163.46
43270ec8,7/2/2024,7/4/2024,First Class,adb8ed,Reyansh Rajagopalan,Corporate,India,Delhi,110001,eae6f7b9-f,Office Supplies,Pens,Pens - Qui,3219.1,6,0.3,407.84
9028b960,3/9/2025,3/12/2025,First Class,01ab0d,Arnav Kade,Corporate,India,Delhi,110001,b6651010-c,Technology,Copiers,Copiers - Harum,1081.05,2,0.2,138.65
